[0.000000] (-) TimerEvent: {}
[0.000301] (-) JobUnselected: {'identifier': 'amr_visualisation'}
[0.000342] (-) JobUnselected: {'identifier': 'custom_package'}
[0.000371] (-) JobUnselected: {'identifier': 'demo'}
[0.000524] (-) JobUnselected: {'identifier': 'hand_solo_virtual_nav'}
[0.000559] (-) JobUnselected: {'identifier': 'pa_warehouse_status'}
[0.000586] (-) JobUnselected: {'identifier': 'techman_robot_msgs'}
[0.000610] (-) JobUnselected: {'identifier': 'tm12_moveit_config'}
[0.000633] (-) JobUnselected: {'identifier': 'tm12x_moveit_config'}
[0.000656] (-) JobUnselected: {'identifier': 'tm14_moveit_config'}
[0.000677] (-) JobUnselected: {'identifier': 'tm14x_moveit_config'}
[0.000699] (-) JobUnselected: {'identifier': 'tm16_moveit_config'}
[0.000720] (-) JobUnselected: {'identifier': 'tm20_moveit_config'}
[0.000742] (-) JobUnselected: {'identifier': 'tm5-700_moveit_config'}
[0.000764] (-) JobUnselected: {'identifier': 'tm5-900_moveit_config'}
[0.000785] (-) JobUnselected: {'identifier': 'tm5x-700_moveit_config'}
[0.000809] (-) JobUnselected: {'identifier': 'tm5x-900_moveit_config'}
[0.000832] (-) JobUnselected: {'identifier': 'tm_description'}
[0.000863] (-) JobUnselected: {'identifier': 'tm_driver'}
[0.000893] (-) JobUnselected: {'identifier': 'tm_get_status'}
[0.000918] (-) JobUnselected: {'identifier': 'tm_mod_urdf'}
[0.000944] (-) JobUnselected: {'identifier': 'tm_msgs'}
[0.000968] (-) JobUnselected: {'identifier': 'ui_for_debug_and_demo'}
[0.000993] (-) EventReactorShutdown: {}
